,PNR_Number,Train_Number,Date_of_Journey,Class_of_Travel,Quota,Source_Station,Destination_Station,Booking_Date,Current_Status,Number_of_Passengers,Age_of_Passengers,Booking_Channel,Travel_Distance,Number_of_Stations,Travel_Time,Train_Type,Seat_Availability,Special_Considerations,Holiday_or_Peak_Season,Waitlist_Position,Booking_Status,Waiting_Num,Distance,Final_Status
10,PNR0000000010,84954,9/11/2024,1AC,Tatkal,CNB,MAS,1/11/2024,Waitlisted,4,Child,Counter,1830,11,46,Express,928,Defense Quota,Yes,WL065,Not Confirmed,65,2.142322504,CNF
11,PNR0000000011,21169,9/12/2024,3AC,Premium Tatkal,PNBE,GKP,1/12/2024,Confirmed,1,Senior Citizen,Mobile App,1228,11,10,Shatabdi,1064,,No,,Confirmed,0,0.349199658,CNF
12,PNR0000000012,67644,9/13/2024,2AC,General,CNB,BCT,1/13/2024,Confirmed,2,Child,Counter,1409,14,30,Express,432,,Yes,,Confirmed,0,0.198476298,CNF
13,PNR0000000013,45391,9/14/2024,2AC,Tatkal,ADI,HWH,1/14/2024,RAC,5,Adult,Counter,788,12,20,Express,1896,Defense Quota,Yes,,Confirmed,0,0.087723186,CNF
14,PNR0000000014,10215,9/15/2024,2AC,Premium Tatkal,BCT,JP,1/15/2024,Confirmed,5,Child,IRCTC Website,303,13,8,Shatabdi,3208,Senior Citizen,No,,Confirmed,0,0.109934232,CNF
15,PNR0000000015,74068,9/16/2024,2AC,Tatkal,LTT,JP,1/16/2024,RAC,4,Senior Citizen,Mobile App,1002,4,17,Rajdhani,896,Senior Citizen,No,,Confirmed,0,0.20361491,CNF
16,PNR0000000016,77457,9/17/2024,3AC,Tatkal,BBS,MAS,1/17/2024,RAC,2,Senior Citizen,IRCTC Website,1839,5,6,Shatabdi,1064,,Yes,,Confirmed,0,0.349199658,CNF
17,PNR0000000017,17913,9/18/2024,2AC,Ladies,JHS,JP,1/18/2024,Waitlisted,3,Adult,Mobile App,1038,3,47,Shatabdi,1296,Defense Quota,No,WL026,Not Confirmed,26,1.690422873,CNF
18,PNR0000000018,15855,9/19/2024,3AC,General,JHS,HWH,1/19/2024,Waitlisted,3,Adult,Mobile App,639,17,24,Rajdhani,1296,Senior Citizen,No,WL086,Not Confirmed,86,2.334978639,CAN
19,PNR0000000019,87466,9/20/2024,Sleeper,Ladies,BBS,ASR,1/20/2024,Waitlisted,5,Adult,Counter,376,17,14,Express,264,Defense Quota,Yes,WL127,Not Confirmed,127,3.554467658,CAN
20,PNR0000000020,25798,9/21/2024,3AC,General,SBC,CSMT,1/21/2024,RAC,2,Senior Citizen,Counter,1373,6,2,Superfast,2640,Senior Citizen,No,,Confirmed,0,0.557009269,CNF
21,PNR0000000021,97702,9/22/2024,Sleeper,Ladies,JU,NDLS,1/22/2024,Waitlisted,2,Child,Counter,1115,14,40,Rajdhani,920,,No,WL086,Not Confirmed,86,2.332156007,CAN
22,PNR0000000022,53904,9/23/2024,Sleeper,General,CSMT,ADI,1/23/2024,RAC,5,Senior Citizen,Mobile App,1838,14,37,Rajdhani,1128,Defense Quota,No,,Confirmed,0,0.404660514,CNF
23,PNR0000000023,82428,9/24/2024,1AC,General,LTT,GKP,1/24/2024,Waitlisted,3,Senior Citizen,Counter,446,5,25,Shatabdi,2928,,No,WL084,Not Confirmed,84,2.197708983,CNF
24,PNR0000000024,72273,9/25/2024,3AC,General,MMCT,HWH,1/25/2024,Confirmed,2,Child,Mobile App,1751,14,25,Express,3992,Senior Citizen,Yes,,Confirmed,0,0.569461258,CNF
25,PNR0000000025,89460,9/26/2024,1AC,General,UMB,MMCT,1/26/2024,Confirmed,2,Senior Citizen,IRCTC Website,572,12,13,Express,3248,Defense Quota,Yes,,Confirmed,0,0.075271196,CNF
26,PNR0000000026,10039,9/27/2024,Sleeper,Premium Tatkal,GKP,BSB,1/27/2024,Waitlisted,2,Senior Citizen,Counter,262,13,22,Superfast,520,Senior Citizen,Yes,WL028,Not Confirmed,28,1.689118634,CNF
27,PNR0000000027,30995,9/28/2024,2AC,Ladies,BCT,ASR,1/28/2024,RAC,3,Senior Citizen,IRCTC Website,1572,4,39,Shatabdi,1600,,Yes,,Confirmed,0,0.344229647,CNF
28,PNR0000000028,79686,9/29/2024,2AC,General,GKP,ADI,1/29/2024,Waitlisted,2,Senior Citizen,Mobile App,830,7,9,Superfast,320,Senior Citizen,Yes,WL055,Not Confirmed,55,2.276654001,CNF
29,PNR0000000029,21574,9/30/2024,1AC,Ladies,ASR,BCT,1/30/2024,Confirmed,4,Senior Citizen,IRCTC Website,1645,8,41,Superfast,280,Defense Quota,No,,Confirmed,0,0.330195832,CNF
30,PNR0000000030,89384,10/1/2024,1AC,General,JHS,UMB,1/31/2024,RAC,1,Senior Citizen,Counter,826,6,12,Express,3856,Senior Citizen,No,,Confirmed,0,0.451606939,CNF
31,PNR0000000031,23575,10/2/2024,1AC,Ladies,SC,PNBE,2/1/2024,Waitlisted,3,Adult,Counter,1927,7,12,Rajdhani,1720,,Yes,WL129,Not Confirmed,129,2.496833755,CAN
32,PNR0000000032,25082,10/3/2024,2AC,Tatkal,CSMT,NJP,2/2/2024,Waitlisted,3,Senior Citizen,Mobile App,1359,6,33,Superfast,3640,,Yes,WL116,Not Confirmed,116,2.346597698,CAN
33,PNR0000000033,60126,10/4/2024,2AC,General,CNB,MMCT,2/3/2024,Waitlisted,3,Adult,Counter,1060,10,36,Rajdhani,3592,Defense Quota,No,WL183,Not Confirmed,183,2.610440503,CAN
34,PNR0000000034,20126,10/5/2024,1AC,Tatkal,NJP,ADI,2/4/2024,Waitlisted,3,Child,IRCTC Website,1163,4,2,Rajdhani,1808,,Yes,WL116,Not Confirmed,116,2.411048011,CAN
35,PNR0000000035,74502,10/6/2024,1AC,Tatkal,LKO,SBC,2/5/2024,Confirmed,2,Senior Citizen,Counter,437,8,7,Rajdhani,1400,Defense Quota,No,,Confirmed,0,0.517544823,CNF
36,PNR0000000036,78016,10/7/2024,2AC,Premium Tatkal,PNBE,BBS,2/6/2024,RAC,2,Child,Mobile App,321,17,21,Rajdhani,1136,Senior Citizen,No,,Confirmed,0,0.411593121,CNF
37,PNR0000000037,67348,10/8/2024,3AC,Tatkal,SC,LTT,2/7/2024,RAC,5,Adult,Mobile App,1648,13,33,Rajdhani,2136,Defense Quota,No,,Confirmed,0,0.120255025,CNF
38,PNR0000000038,51917,10/9/2024,2AC,Premium Tatkal,NDLS,UMB,2/8/2024,Waitlisted,5,Child,Counter,344,11,46,Superfast,1496,Senior Citizen,Yes,WL136,Not Confirmed,136,2.591925496,CAN
39,PNR0000000039,31119,10/10/2024,3AC,General,LKO,LTT,2/9/2024,Confirmed,1,Adult,Mobile App,1746,10,38,Superfast,1688,,No,,Confirmed,0,0.267970969,CNF
40,PNR0000000040,42450,10/11/2024,Sleeper,Ladies,BSB,ADI,2/10/2024,Waitlisted,1,Senior Citizen,Counter,401,5,10,Shatabdi,328,,No,WL032,Not Confirmed,32,1.851637203,CNF
41,PNR0000000041,91661,10/12/2024,Sleeper,Premium Tatkal,ASR,CSMT,2/11/2024,Confirmed,5,Adult,Counter,1587,14,12,Shatabdi,2480,Senior Citizen,Yes,,Confirmed,0,0.418357128,CNF
42,PNR0000000042,90188,10/13/2024,1AC,Tatkal,BCT,BSB,2/12/2024,Confirmed,4,Senior Citizen,Counter,361,11,41,Rajdhani,168,,No,,Confirmed,0,0.427252331,CNF
43,PNR0000000043,10238,10/14/2024,2AC,General,UMB,JP,2/13/2024,RAC,1,Adult,Mobile App,1793,7,3,Shatabdi,3488,,No,,Confirmed,0,0.132707015,CNF
44,PNR0000000044,41141,10/15/2024,1AC,Premium Tatkal,LKO,UMB,2/14/2024,Confirmed,2,Senior Citizen,IRCTC Website,1294,8,30,Superfast,2096,Defense Quota,Yes,,Confirmed,0,0.08559199,CNF
45,PNR0000000045,35634,10/16/2024,3AC,General,KOAA,BCT,2/15/2024,RAC,2,Adult,IRCTC Website,84,16,5,Superfast,1264,Senior Citizen,Yes,,Confirmed,0,0.522514834,CNF
46,PNR0000000046,28573,10/17/2024,1AC,Ladies,HWH,ASR,2/16/2024,RAC,1,Senior Citizen,IRCTC Website,1104,8,46,Shatabdi,1216,Senior Citizen,No,,Confirmed,0,0.480919192,CNF
47,PNR0000000047,81660,10/18/2024,2AC,General,PNBE,ADI,2/17/2024,RAC,4,Child,Mobile App,676,13,30,Express,1024,,Yes,,Confirmed,0,0.314536623,CNF
48,PNR0000000048,97289,10/19/2024,3AC,Tatkal,PNBE,LTT,2/18/2024,Confirmed,2,Adult,Mobile App,1826,13,29,Shatabdi,2944,,Yes,,Confirmed,0,0.338710264,CNF
49,PNR0000000049,22925,10/20/2024,3AC,Premium Tatkal,KOAA,JU,2/19/2024,Confirmed,5,Adult,IRCTC Website,1913,19,14,Express,1080,Senior Citizen,Yes,,Confirmed,0,0.363064872,CNF
50,PNR0000000050,12718,10/21/2024,1AC,Premium Tatkal,SBC,LTT,2/20/2024,Confirmed,5,Child,Counter,275,18,3,Shatabdi,1096,Defense Quota,Yes,,Confirmed,0,0.376930086,CNF
51,PNR0000000051,23909,10/22/2024,2AC,General,JU,BSB,2/21/2024,Confirmed,4,Adult,Mobile App,815,9,30,Shatabdi,776,Defense Quota,No,,Confirmed,0,0.099625804,CNF
52,PNR0000000052,95691,10/23/2024,Sleeper,Ladies,PNBE,LTT,2/22/2024,RAC,4,Senior Citizen,Mobile App,298,10,29,Rajdhani,3840,,Yes,,Confirmed,0,0.437741725,CNF
53,PNR0000000053,75191,10/24/2024,2AC,Ladies,CSMT,JHS,2/23/2024,Waitlisted,3,Senior Citizen,Mobile App,560,16,43,Express,1072,Defense Quota,Yes,WL166,Not Confirmed,166,2.841587899,CAN
54,PNR0000000054,17727,10/25/2024,3AC,Tatkal,BSB,SC,2/24/2024,RAC,1,Child,Counter,1677,10,38,Superfast,2472,,No,,Confirmed,0,0.411424521,CNF
55,PNR0000000055,85263,10/26/2024,2AC,Ladies,JHS,ADI,2/25/2024,Waitlisted,2,Adult,Counter,1824,15,37,Rajdhani,448,Defense Quota,No,WL107,Not Confirmed,107,2.78394973,CAN
56,PNR0000000056,58474,10/27/2024,2AC,Ladies,LKO,GKP,2/26/2024,Confirmed,4,Adult,Counter,125,14,46,Shatabdi,2104,,Yes,,Confirmed,0,0.092524597,CNF
57,PNR0000000057,75877,10/28/2024,2AC,Tatkal,BCT,MAS,2/27/2024,RAC,2,Senior Citizen,IRCTC Website,1521,16,31,Shatabdi,3288,,Yes,,Confirmed,0,0.040608161,CNF
58,PNR0000000058,92194,10/29/2024,2AC,Premium Tatkal,BSB,MAS,2/28/2024,RAC,3,Child,Mobile App,1549,9,21,Express,2288,,Yes,,Confirmed,0,0.251974559,CNF
59,PNR0000000059,85731,10/30/2024,3AC,Ladies,LTT,BSB,2/29/2024,Waitlisted,1,Child,IRCTC Website,1117,3,17,Shatabdi,3288,,No,WL185,Not Confirmed,185,2.619025173,CAN
60,PNR0000000060,35175,10/31/2024,Sleeper,Ladies,JP,CNB,3/1/2024,Waitlisted,1,Adult,Mobile App,716,2,41,Rajdhani,1824,Senior Citizen,Yes,WL013,Not Confirmed,13,1.2694985,CNF
61,PNR0000000061,33598,11/1/2024,3AC,General,SBC,JU,3/2/2024,RAC,2,Child,Mobile App,1200,7,19,Rajdhani,1312,Senior Citizen,No,,Confirmed,0,0.564110476,CNF
62,PNR0000000062,38813,11/2/2024,1AC,General,JHS,GKP,3/3/2024,Confirmed,2,Senior Citizen,Counter,231,16,6,Superfast,1360,,Yes,,Confirmed,0,0.552207858,CNF
63,PNR0000000063,64833,11/3/2024,3AC,Tatkal,GKP,GKP,3/4/2024,RAC,1,Adult,Mobile App,248,17,45,Superfast,72,Senior Citizen,No,,Confirmed,0,0.510443615,CNF
64,PNR0000000064,13596,11/4/2024,2AC,Premium Tatkal,LKO,BSB,3/5/2024,Confirmed,4,Child,Mobile App,1491,9,13,Express,2776,Defense Quota,No,,Confirmed,0,0.484295012,CNF
65,PNR0000000065,81398,11/5/2024,3AC,Tatkal,MMCT,SC,3/6/2024,Waitlisted,1,Child,Mobile App,130,18,43,Superfast,2112,,Yes,WL111,Not Confirmed,111,2.358559248,CAN
66,PNR0000000066,23345,11/6/2024,3AC,Premium Tatkal,CNB,MAS,3/7/2024,Waitlisted,2,Adult,Counter,239,4,26,Shatabdi,3576,Defense Quota,No,WL045,Not Confirmed,45,1.850699206,CNF
67,PNR0000000067,59733,11/7/2024,2AC,Tatkal,HWH,BCT,3/8/2024,RAC,4,Adult,Counter,1903,16,37,Express,2136,,Yes,,Confirmed,0,0.120255025,CNF
68,PNR0000000068,94944,11/8/2024,Sleeper,Ladies,CNB,MMCT,3/9/2024,Waitlisted,5,Child,IRCTC Website,511,17,45,Superfast,3808,Senior Citizen,No,WL050,Not Confirmed,50,1.934265486,CNF
69,PNR0000000069,20278,11/9/2024,Sleeper,Tatkal,GKP,NJP,3/10/2024,Confirmed,4,Adult,IRCTC Website,95,6,21,Shatabdi,2152,Senior Citizen,Yes,,Confirmed,0,0.134120239,CNF
70,PNR0000000070,41776,11/10/2024,2AC,Premium Tatkal,BCT,PNBE,3/11/2024,RAC,4,Senior Citizen,Counter,56,17,46,Rajdhani,1168,,No,,Confirmed,0,0.439323549,CNF
71,PNR0000000071,61238,11/11/2024,2AC,General,BBS,ADI,3/12/2024,Waitlisted,2,Senior Citizen,Mobile App,561,15,37,Express,2536,,No,WL194,Not Confirmed,194,2.740324477,CAN
72,PNR0000000072,13464,11/12/2024,Sleeper,Premium Tatkal,PNBE,NDLS,3/13/2024,Confirmed,4,Adult,Counter,1924,2,20,Rajdhani,968,,No,,Confirmed,0,0.266008373,CNF
73,PNR0000000073,35867,11/13/2024,3AC,General,UMB,HWH,3/14/2024,Waitlisted,4,Senior Citizen,Mobile App,1271,4,18,Shatabdi,1512,Defense Quota,No,WL155,Not Confirmed,155,2.684316948,CAN
74,PNR0000000074,66287,11/14/2024,1AC,Premium Tatkal,UMB,SBC,3/15/2024,Confirmed,1,Adult,Counter,1815,2,31,Rajdhani,3568,,No,,Confirmed,0,0.202033085,CNF
75,PNR0000000075,16338,11/15/2024,2AC,General,KOAA,NJP,3/16/2024,RAC,1,Child,IRCTC Website,674,18,6,Shatabdi,2344,Senior Citizen,No,,Confirmed,0,0.300502808,CNF
76,PNR0000000076,95001,11/16/2024,1AC,Premium Tatkal,SBC,CNB,3/17/2024,RAC,2,Adult,Mobile App,1133,14,39,Superfast,2944,Senior Citizen,Yes,,Confirmed,0,0.338710264,CNF
77,PNR0000000077,31646,11/17/2024,3AC,Tatkal,BCT,NDLS,3/18/2024,Confirmed,5,Senior Citizen,IRCTC Website,200,14,7,Express,2184,Defense Quota,No,,Confirmed,0,0.161850667,CNF
78,PNR0000000078,89410,11/18/2024,1AC,General,PNBE,BBS,3/19/2024,RAC,3,Adult,Counter,485,11,7,Shatabdi,3704,,No,,Confirmed,0,0.319887405,CNF
79,PNR0000000079,72028,11/19/2024,3AC,Ladies,NJP,PNBE,3/20/2024,Waitlisted,2,Adult,Counter,1486,12,27,Superfast,3200,,Yes,WL155,Not Confirmed,155,2.514557403,CAN
80,PNR0000000080,80190,11/20/2024,1AC,Premium Tatkal,CNB,ADI,3/21/2024,Confirmed,2,Adult,Counter,1729,7,21,Superfast,2144,Senior Citizen,Yes,,Confirmed,0,0.127187632,CNF
81,PNR0000000081,30516,11/21/2024,2AC,Premium Tatkal,PNBE,NJP,3/22/2024,Confirmed,1,Child,IRCTC Website,1977,7,18,Shatabdi,704,Senior Citizen,Yes,,Confirmed,0,0.037232341,CNF
82,PNR0000000082,84469,11/22/2024,1AC,General,SBC,BCT,3/23/2024,Waitlisted,4,Child,Mobile App,1184,17,31,Rajdhani,3080,Defense Quota,Yes,WL198,Not Confirmed,198,2.683275324,CAN
83,PNR0000000083,70515,11/23/2024,Sleeper,Ladies,BCT,BCT,3/24/2024,Waitlisted,1,Child,Counter,1903,3,24,Express,2968,,Yes,WL117,Not Confirmed,117,2.375219465,CAN
84,PNR0000000084,91428,11/24/2024,Sleeper,Ladies,KOAA,LTT,3/25/2024,RAC,3,Child,IRCTC Website,540,12,18,Express,1840,Defense Quota,Yes,,Confirmed,0,0.136251435,CNF
85,PNR0000000085,79530,11/25/2024,Sleeper,Ladies,KOAA,CSMT,3/26/2024,RAC,1,Adult,Mobile App,1524,12,28,Shatabdi,792,Defense Quota,Yes,,Confirmed,0,0.113491018,CNF
86,PNR0000000086,81259,11/26/2024,Sleeper,General,JP,BBS,3/27/2024,RAC,2,Adult,Mobile App,432,18,44,Shatabdi,3336,Defense Quota,No,,Confirmed,0,0.000987481,CNF
87,PNR0000000087,53770,11/27/2024,3AC,Premium Tatkal,BCT,ADI,3/28/2024,RAC,3,Child,Mobile App,817,13,3,Shatabdi,504,Senior Citizen,No,,Confirmed,0,0.136082835,CNF
88,PNR0000000088,82924,11/28/2024,1AC,Ladies,ASR,NJP,3/29/2024,Waitlisted,3,Adult,IRCTC Website,950,8,19,Express,296,Senior Citizen,No,WL109,Not Confirmed,109,3.141492909,CAN
89,PNR0000000089,18960,11/29/2024,1AC,Tatkal,BBS,MAS,3/30/2024,Waitlisted,5,Adult,IRCTC Website,1747,12,32,Shatabdi,3576,Senior Citizen,Yes,WL066,Not Confirmed,66,2.042036608,CNF
90,PNR0000000090,53791,11/30/2024,3AC,Ladies,SC,GKP,3/31/2024,RAC,2,Child,Mobile App,1783,12,18,Rajdhani,2344,Senior Citizen,Yes,,Confirmed,0,0.300502808,CNF
91,PNR0000000091,92414,12/1/2024,2AC,Ladies,CSMT,JU,4/1/2024,Confirmed,2,Senior Citizen,Counter,274,17,27,Express,152,,No,,Confirmed,0,0.441117545,CNF
92,PNR0000000092,46828,12/2/2024,Sleeper,Tatkal,CSMT,SBC,4/2/2024,Confirmed,4,Senior Citizen,IRCTC Website,1000,13,32,Superfast,3640,Defense Quota,No,,Confirmed,0,0.264426549,CNF
93,PNR0000000093,87140,12/3/2024,2AC,Tatkal,MMCT,HWH,4/3/2024,RAC,5,Senior Citizen,Counter,1164,10,4,Rajdhani,3232,Defense Quota,Yes,,Confirmed,0,0.08913641,CNF
94,PNR0000000094,99072,12/4/2024,3AC,General,SBC,SC,4/4/2024,Waitlisted,3,Adult,Counter,1843,16,36,Superfast,3920,Defense Quota,No,WL198,Not Confirmed,198,2.691097937,CAN
95,PNR0000000095,16023,12/5/2024,Sleeper,Tatkal,LTT,MMCT,4/5/2024,Waitlisted,2,Child,Counter,729,13,29,Rajdhani,1984,Defense Quota,Yes,WL072,Not Confirmed,72,2.10902991,CNF
96,PNR0000000096,84261,12/6/2024,Sleeper,Premium Tatkal,BCT,ADI,4/6/2024,Confirmed,1,Senior Citizen,IRCTC Website,1905,9,7,Superfast,2896,,Yes,,Confirmed,0,0.380305906,CNF
97,PNR0000000097,67960,12/7/2024,2AC,General,JP,PNBE,4/7/2024,RAC,3,Child,IRCTC Website,1031,15,13,Rajdhani,48,Defense Quota,No,,Confirmed,0,0.531241436,CNF
98,PNR0000000098,25741,12/8/2024,1AC,Premium Tatkal,UMB,SC,4/8/2024,Waitlisted,2,Adult,Counter,179,4,43,Express,2792,,No,WL107,Not Confirmed,107,2.357177861,CAN
99,PNR0000000099,35847,12/9/2024,1AC,Tatkal,SC,BCT,4/9/2024,Waitlisted,5,Adult,IRCTC Website,1862,16,3,Express,2312,Defense Quota,No,WL054,Not Confirmed,54,1.964922839,CNF
100,PNR0000000100,98776,12/10/2024,3AC,Premium Tatkal,LTT,PNBE,4/10/2024,RAC,1,Senior Citizen,Mobile App,251,9,37,Superfast,2200,,No,,Confirmed,0,0.175715881,CNF
101,PNR0000000101,90402,12/11/2024,Sleeper,Ladies,JU,SC,4/11/2024,Waitlisted,4,Senior Citizen,Mobile App,396,16,4,Express,1056,Senior Citizen,Yes,WL052,Not Confirmed,52,2.008887713,CNF
102,PNR0000000102,41184,12/12/2024,1AC,Premium Tatkal,HWH,NDLS,4/12/2024,Waitlisted,2,Child,Mobile App,885,9,30,Rajdhani,1624,Defense Quota,No,WL198,Not Confirmed,198,2.844643427,CAN
103,PNR0000000103,52438,12/13/2024,3AC,General,ADI,CSMT,4/13/2024,Waitlisted,5,Child,Counter,1656,2,41,Rajdhani,3384,Defense Quota,No,WL166,Not Confirmed,166,2.547349009,CAN
104,PNR0000000104,12033,12/14/2024,3AC,Tatkal,SBC,BBS,4/14/2024,Waitlisted,5,Adult,IRCTC Website,239,2,34,Shatabdi,2920,Senior Citizen,No,WL003,Not Confirmed,3,0.750068738,CNF
105,PNR0000000105,13258,12/15/2024,1AC,Ladies,BCT,BCT,4/15/2024,RAC,1,Child,IRCTC Website,1756,15,4,Superfast,928,Senior Citizen,No,,Confirmed,0,0.231345338,CNF
106,PNR0000000106,15424,12/16/2024,2AC,Premium Tatkal,BCT,JP,4/16/2024,Confirmed,4,Senior Citizen,IRCTC Website,1189,17,32,Rajdhani,616,Defense Quota,Yes,,Confirmed,0,0.039026337,CNF
107,PNR0000000107,55015,12/17/2024,1AC,Ladies,LKO,BSB,4/17/2024,Waitlisted,4,Senior Citizen,IRCTC Website,1249,16,47,Superfast,2288,Defense Quota,Yes,WL106,Not Confirmed,106,2.334355167,CAN
108,PNR0000000108,55703,12/18/2024,3AC,Premium Tatkal,PNBE,GKP,4/18/2024,Waitlisted,2,Adult,IRCTC Website,651,8,20,Superfast,2568,,No,WL108,Not Confirmed,108,2.375550157,CAN
109,PNR0000000109,77553,12/19/2024,1AC,Premium Tatkal,MAS,CNB,4/19/2024,Confirmed,1,Adult,Counter,299,9,16,Shatabdi,1648,Senior Citizen,No,,Confirmed,0,0.302634004,CNF
110,PNR0000000110,23582,12/20/2024,3AC,General,UMB,ASR,4/20/2024,Waitlisted,1,Adult,IRCTC Website,1475,11,37,Rajdhani,1632,Senior Citizen,Yes,WL073,Not Confirmed,73,2.158646829,CNF
111,PNR0000000111,57013,12/21/2024,Sleeper,Premium Tatkal,GKP,BSB,4/21/2024,RAC,4,Child,IRCTC Website,346,9,41,Rajdhani,2904,Senior Citizen,No,,Confirmed,0,0.373373299,CNF
112,PNR0000000112,43386,12/22/2024,Sleeper,Tatkal,SBC,BCT,4/22/2024,RAC,1,Adult,Counter,566,3,30,Superfast,112,Defense Quota,No,,Confirmed,0,0.47578058,CNF
113,PNR0000000113,91216,12/23/2024,2AC,General,CNB,ADI,4/23/2024,RAC,3,Adult,IRCTC Website,591,5,30,Express,1512,Defense Quota,No,,Confirmed,0,0.420488324,CNF
114,PNR0000000114,41162,12/24/2024,1AC,Premium Tatkal,NDLS,LKO,4/24/2024,Waitlisted,2,Child,Counter,1609,19,43,Superfast,1856,Senior Citizen,Yes,WL170,Not Confirmed,170,2.667892351,CAN
115,PNR0000000115,46907,12/25/2024,3AC,Premium Tatkal,LKO,CNB,4/25/2024,Waitlisted,5,Child,Counter,599,9,30,Superfast,3064,Senior Citizen,No,WL123,Not Confirmed,123,2.390736234,CAN
116,PNR0000000116,24727,12/26/2024,3AC,Tatkal,MMCT,BSB,4/26/2024,Confirmed,5,Adult,IRCTC Website,187,11,3,Rajdhani,2480,,Yes,,Confirmed,0,0.418357128,CNF
117,PNR0000000117,47160,12/27/2024,1AC,Premium Tatkal,BBS,PNBE,4/27/2024,Waitlisted,2,Adult,IRCTC Website,1157,11,21,Shatabdi,600,Defense Quota,Yes,WL072,Not Confirmed,72,2.285456825,CNF
118,PNR0000000118,73704,12/28/2024,3AC,Ladies,UMB,JHS,4/28/2024,Confirmed,4,Adult,Mobile App,320,19,24,Express,2224,,No,,Confirmed,0,0.196513703,CNF
119,PNR0000000119,66787,12/29/2024,1AC,General,UMB,NJP,4/29/2024,RAC,1,Senior Citizen,Mobile App,1444,4,44,Rajdhani,2832,Defense Quota,Yes,,Confirmed,0,0.435766762,CNF
120,PNR0000000120,39092,12/30/2024,3AC,Premium Tatkal,CSMT,MAS,4/30/2024,Waitlisted,5,Senior Citizen,IRCTC Website,326,14,20,Superfast,2224,Senior Citizen,No,WL099,Not Confirmed,99,2.291046636,CNF
121,PNR0000000121,40166,12/31/2024,2AC,General,LTT,UMB,5/1/2024,Waitlisted,5,Child,IRCTC Website,1068,15,4,Express,544,Defense Quota,Yes,WL163,Not Confirmed,163,3.182536096,CAN
122,PNR0000000122,83160,1/1/2025,Sleeper,Ladies,PNBE,JU,5/2/2024,RAC,5,Senior Citizen,Mobile App,1415,15,23,Superfast,2008,Defense Quota,No,,Confirmed,0,0.009333312,CNF
123,PNR0000000123,47260,1/2/2025,1AC,Tatkal,LKO,SC,5/3/2024,Confirmed,3,Adult,Mobile App,1947,2,38,Express,944,Defense Quota,No,,Confirmed,0,0.245210552,CNF
124,PNR0000000124,14262,1/3/2025,3AC,Ladies,LKO,BSB,5/4/2024,Waitlisted,5,Senior Citizen,Mobile App,172,17,21,Express,3728,Defense Quota,No,WL012,Not Confirmed,12,1.267253105,CNF
125,PNR0000000125,83692,1/4/2025,Sleeper,Ladies,JP,JU,5/5/2024,RAC,5,Child,Counter,741,12,11,Express,120,Senior Citizen,No,,Confirmed,0,0.468847973,CNF
